Byte	Correlation Strength
0	0.9090170838353577
1	0.9001740903716455
2	0.9125918120552042
3	0.9095012039625447
4	0.8985500610991629
5	0.9095116051608184
6	0.906010979669995
7	0.8979419706440425
8	0.9041405721443164
9	0.9075501696050129
10	0.8987583932757199
11	0.8980967936519105
12	0.9042389965880563
13	0.9035837793162808
14	0.8853418582364231
15	0.9024928143525573
16	0.8871143227445951
17	0.8910878123557047
18	0.8882368439660943
19	0.9052844153359231
20	0.9030375872530012
21	0.8963026972602538
22	0.8903179203322048
23	0.8962990100851878
24	0.9093561039862951
25	0.9043233857568351
26	0.8907403621543154
27	0.8789780417527022
28	0.8997190907526412
29	0.8933738656856957
30	0.8857490044942039
31	0.8894424393136244
32	0.8911007992925355
33	0.9003296723773708
34	0.903693713467349
35	0.9047275355256134
36	0.9065777230061651
37	0.8991130455318466
38	0.9066210388623998
39	0.8907565236076186
40	0.9097109680131505
41	0.8906134610333226
42	0.9016186411490602
43	0.8898638193998223
44	0.8776575409310302
45	0.8890817226630521
46	0.8849333527159208
47	0.8860718081456955
48	0.8961896872753846
49	0.8921477103796319
50	0.8982849962020746
51	0.9022294429941916
52	0.8865056605851261
53	0.883265453146404
54	0.9046127523810457
55	0.9047231972241035
56	0.8994266662402101
57	0.8823923660137752
58	0.8907748046448817
59	0.897109862696745
60	0.8985052134878712
61	0.8900722923454504
62	0.8996864735930624
63	0.8808629408889059
64	0.9133796312056827
65	0.8924683920161111
66	0.8968933592650467
67	0.8997324812461
68	0.9024200726443081
69	0.9090066690806623
70	0.9033424647842819
71	0.9011810499879793
72	0.8976887666831971
73	0.8846844420300769
74	0.8946408185087148
75	0.8857831784371494
76	0.8867319890741253
77	0.8761564884984869
78	0.8970642285891679
79	0.890249823931547
80	0.9029900130393731
81	0.9003693532828906
82	0.8872154408765428
83	0.8939692829713524
84	0.8896897498250955
85	0.9088530260648718
86	0.8938389728842683
87	0.8891451051663354
88	0.9066777677174535
89	0.8909001539344442
90	0.883288053316385
91	0.8998630550633182
92	0.8993460201861421
93	0.8899755086151985
94	0.8761453303420393
95	0.8843159399241265
96	0.8979980757553992
97	0.8894836965109826
98	0.9009285139192471
99	0.8921129498105999
100	0.8901208749239976
101	0.8862189777050369
102	0.8940944474500828
103	0.8845236396070711
104	0.8878338014635433
105	0.8964276121146888
106	0.8892005091679375
107	0.8923199066664189
108	0.8989268958275679
